Monday,08:00-12:00,Data Mining Class
Monday,12:30-13:00,Exercise
Monday,13:00-15:00,Odoo
Monday,16:00-17:30,Computer Vision
Monday,19:00-20:00,English
Monday,20:30-21:30,Rust
Monday,21:30-21:50,Second Language
Tuesday,09:00-11:00,Computer Vision
Tuesday,12:00-14:00,Odoo
Tuesday,16:00-17:00,Rust
Tuesday,19:00-20:00,English
Tuesday,20:30-21:30,Unity
Tuesday,21:30-21:50,Second Language
Wednesday,08:00-12:00,Data Mining Class
Wednesday,12:30-13:00,Exercise
Wednesday,13:00-15:00,Odoo
Wednesday,16:00-17:30,Computer Vision
Wednesday,19:00-20:00,English
Wednesday,20:30-21:30,Rust
Wednesday,21:30-21:50,Second Language
Thursday,09:00-11:00,Computer Vision
Thursday,12:00-14:00,Odoo
Thursday,16:00-17:00,Rust
Thursday,19:00-20:00,English
Thursday,20:30-21:30,Unity
Thursday,21:30-21:50,Second Language
Friday,08:00-12:00,Data Mining Class
Friday,12:30-13:00,Exercise
Friday,13:00-15:00,Odoo
Friday,16:00-17:30,Computer Vision
Friday,19:00-20:00,English
Friday,20:30-21:30,Rust
Saturday,09:00-12:00,Computer Vision
Saturday,13:00-15:00,Odoo
Saturday,16:00-17:30,Unity
Saturday,19:00-20:00,Quantum Computing
Saturday,20:30-21:00,Exercise
Sunday,10:00-12:00,Weekly Review
Sunday,16:00-18:00,Unity Project
Sunday,19:00-20:00,English
Sunday,20:30-21:00,Light Exercise
